primaryTitle,startYear,runtimeMinutes,genres,region,language,averageRating,numVotes
A Yank at Oxford,1938,102,"Drama,Romance,Sport",IN,en,6.6,1436
You Can't Take It with You,1938,126,"Comedy,Drama,Romance",IN,hi,7.8,29778
You're Only Young Once,1937,78,"Comedy,Family,Romance",IN,en,6.6,593
The Adventures of Sherlock Holmes,1939,85,"Crime,Mystery,Thriller",IN,en,7.2,7989
Bulldog Sees It Through,1940,77,Mystery,IN,en,6.4,24
Andy Hardy Gets Spring Fever,1939,85,"Comedy,Family,Romance",IN,en,6.5,770
Bachelor Mother,1939,82,"Comedy,Romance",IN,en,7.5,4976
Beau Geste,1939,112,"Action,Adventure,Drama",IN,en,7.5,6923
Blind Alley,1939,69,"Crime,Drama,Film-Noir",IN,en,6.3,901
Calling Dr. Kildare,1939,86,"Crime,Drama,Romance",IN,en,6.4,616
Confessions of a Nazi Spy,1939,104,"Drama,War",IN,en,6.7,2322
Dark Victory,1939,104,"Drama,Romance",IN,en,7.4,13221
Each Dawn I Die,1939,92,"Crime,Drama,Film-Noir",IN,en,7.2,4109
Espionage Agent,1939,83,"Action,Adventure,Crime",IN,en,5.9,483
The Four Feathers,1939,129,"Adventure,Drama,History",IN,en,7.4,6967
Gone with the Wind,1939,238,"Drama,Romance,War",IN,hi,8.2,351525
"Goodbye, Mr. Chips",1939,114,"Drama,Romance",IN,hi,7.9,12167
Gunga Din,1939,117,"Adventure,Comedy,War",IN,en,7.2,13457
Hell's Kitchen,1939,81,"Action,Adventure,Crime",IN,en,6.5,468
The Hound of the Baskervilles,1939,80,"Crime,Mystery,Thriller",IN,en,7.4,12580
The Hunchback of Notre Dame,1939,116,"Drama,Romance",IN,en,7.8,13056
I Stole a Million,1939,80,"Crime,Drama,Film-Noir",IN,en,6.1,135
Island of Lost Men,1939,68,"Crime,Drama,Mystery",IN,en,5.9,231
I Accuse,1938,95,"Drama,Horror,Sci-Fi",IN,en,7.0,726
The Bangle,1939,139,"Drama,Romance",IN,en,7.9,11
King of the Underworld,1939,67,"Crime,Drama,Romance",IN,en,6.4,1732
Man About Town,1939,85,"Comedy,Music,Romance",IN,en,6.5,204
Man of Conquest,1939,105,"Drama,History,War",IN,en,6.1,213
The Middle Watch,1940,87,Comedy,IN,en,6.3,42
Mr. Smith Goes to Washington,1939,129,"Comedy,Drama",IN,en,8.1,127823
The Oklahoma Kid,1939,85,"Action,Western",IN,en,6.4,2861
Outlaws' Paradise,1939,62,"Drama,Western",IN,en,6.1,66
Pukar,1939,165,"Drama,History",IN,en,7.1,82
Clouds Over Europe,1939,82,"Comedy,Drama,Mystery",IN,en,6.5,1187
The Return of Doctor X,1939,63,"Drama,Horror,Mystery",IN,en,5.7,2806
"Ride 'em, Cowgirl",1939,53,"Drama,Music,Western",IN,en,5.7,53
The Roaring Twenties,1939,106,"Crime,Drama,Thriller",IN,en,7.9,16959
The Rules of the Game,1939,110,"Comedy,Drama",IN,en,7.9,32946
U-Boat 29,1939,77,"Thriller,War",IN,en,6.9,2839
Stagecoach,1939,96,"Adventure,Drama,Western",IN,en,7.8,57616
Union Pacific,1939,135,"Drama,Western",IN,en,7.0,3772
The Wizard of Oz,1939,102,"Adventure,Family,Fantasy",IN,en,8.1,458465
The Women,1939,133,"Comedy,Drama",IN,en,7.7,15834
Wuthering Heights,1939,104,"Drama,Romance",IN,en,7.5,21155
You Can't Get Away with Murder,1939,79,"Crime,Drama,Film-Noir",IN,en,6.4,1472
Young Mr. Lincoln,1939,100,"Biography,Drama",IN,en,7.5,9763
"All This, and Heaven Too",1940,141,"Drama,Romance",IN,en,7.4,5718
Angels Over Broadway,1940,79,"Adventure,Comedy,Crime",IN,en,6.5,1443
Aurat,1940,154,Drama,IN,\N,6.6,51
Beyond Tomorrow,1940,84,"Drama,Fantasy,Romance",IN,en,6.5,2543
Black Friday,1940,70,"Crime,Drama,Film-Noir",IN,en,6.3,3249
Boom Town,1940,119,"Adventure,Drama,Romance",IN,en,7.0,4078
Brigham Young,1940,114,"Adventure,Biography,Drama",IN,en,6.3,1190
Brother Orchid,1940,88,"Comedy,Crime,Drama",IN,en,7.0,3358
The Frightened Lady,1940,75,"Crime,Drama,Mystery",IN,en,6.4,414
Chad Hanna,1940,88,"Drama,Romance",IN,en,6.2,380
A Chump at Oxford,1940,62,"Comedy,Family",IN,en,7.2,4643
City for Conquest,1940,104,"Drama,Sport",IN,en,7.2,2900
The Conquest of the Air,1931,71,"Documentary,Drama,History",IN,en,6.3,291
Diamond Queen,1940,155,"Action,Adventure",IN,en,6.1,41
Doomed to Die,1940,68,"Crime,Drama,Mystery",IN,en,5.5,1521
Chamber of Horrors,1940,79,"Drama,Horror,Mystery",IN,en,5.5,767
Down Argentine Way,1940,89,"Comedy,Drama,Musical",IN,en,6.3,1466
East of the River,1940,74,"Crime,Drama",IN,en,6.3,532
Escape,1940,104,"Crime,Drama,Mystery",IN,en,7.0,1291
Fantasia,1940,124,"Animation,Family,Fantasy",IN,en,7.7,109540
Foreign Correspondent,1940,120,"Action,Drama,Romance",IN,en,7.4,25527
The Grapes of Wrath,1940,129,Drama,IN,en,8.1,106851
The Great Dictator,1940,125,"Comedy,Drama,War",IN,en,8.4,252776
His Girl Friday,1940,92,"Comedy,Drama,Romance",IN,en,7.8,66724
Hudson's Bay,1940,95,"Adventure,History,Romance",IN,en,6.2,545
Invisible Stripes,1939,81,"Action,Crime,Drama",IN,en,6.7,2162
June Night,1940,88,Drama,IN,en,6.0,777
Kitty Foyle,1940,108,"Drama,Romance",IN,en,6.9,4355
Me and My Girl,1939,67,Comedy,IN,en,6.9,49
The Long Voyage Home,1940,105,"Drama,War",IN,en,6.9,5382
The Marines Fly High,1940,68,"Action,Adventure,Drama",IN,en,5.4,209
The Mark of Zorro,1940,94,"Action,Adventure,Drama",IN,en,7.5,11700
The Mortal Storm,1940,100,Drama,IN,en,7.7,6637
Nartaki,1940,150,Drama,IN,\N,7.6,16
Night Train to Munich,1940,90,"Drama,Romance,Thriller",IN,en,7.2,6083
Pinocchio,1940,88,"Adventure,Animation,Comedy",IN,en,7.5,169522
Pride and Prejudice,1940,118,"Comedy,Drama,Romance",IN,en,7.3,9847
Rebecca,1940,130,"Drama,Mystery,Romance",IN,en,8.1,160830
Remember the Night,1939,94,"Comedy,Drama,Romance",IN,en,7.6,7899
Second Chorus,1940,84,"Comedy,Musical,Romance",IN,hi,5.7,1873
